No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use +page and +layout conventions,SvelteKit structure is clearest when routing follows file conventions,Use +page/+layout/+server files,Create a custom router shell,src/routes/dashboard/+page.svelte,Manual route table,High,https://svelte.dev/docs/kit/routing
2,Data,Load data with load functions,Server and universal load are the primary data path,Use +page.server.ts or +layout.server.ts,useEffect-style fetch in first paint,onMount(fetchData),Only client fetch for initial state,High,https://svelte.dev/docs/kit/load
3,Forms,Use form actions for mutations,SvelteKit form actions keep mutation logic on the server,Use +page.server.ts actions,Build every form around bespoke fetch handlers,export const actions = { default: async () => {} },Manual POST wrapper everywhere,High,https://svelte.dev/docs/kit/form-actions
4,Navigation,Use invalidation and navigation APIs intentionally,Lean on Kit primitives for updates and routing,Use goto and invalidate when needed,Hand-roll global navigation state,import { goto } from '$app/navigation',window.location plus custom caches,Medium,https://svelte.dev/docs/kit/$app-navigation
5,Errors,Use error and redirect helpers,Express route failures with Kit utilities,throw error(...) or redirect(...),Return magic objects or swallow errors,throwErrorNotFound(),returnStatusObject,High,https://svelte.dev/docs/kit/errors
6,Endpoints,Use +server files for HTTP handlers,Separate page UI from endpoint behavior,Implement HTTP verbs in +server.ts,Overload page files as API layers,src/routes/api/users/+server.ts,Manual express server beside Kit,Medium,https://svelte.dev/docs/kit/routing#server
7,State,Use stores only when route data is not enough,SvelteKit already gives structured data flow,Prefer load data and props,Global store for every page concern,const { data } = $props(),Writable store for page payload,Medium,https://svelte.dev/docs/kit/state-management
8,Performance,Keep server and client boundaries clear,Only ship browser code when interactivity needs it,Use server load for protected or heavy work,Leak heavy computation into browser bundles,+page.server.ts for database calls,Database logic in component,High,https://svelte.dev/docs/kit/load#universal-vs-server
9,Auth,Use hooks and server guards intentionally,Centralize auth and per-route checks,Use hooks.server.ts and route guards,Scatter auth checks across every component,handle hook validates session,Each page reimplements auth,High,https://svelte.dev/docs/kit/hooks
10,Validation,Validate on the server as source of truth,Actions and endpoints should parse input safely,Validate with schema in action,Trust client forms alone,const result = schema.safeParse(...),Only HTML validation,High,https://svelte.dev/docs/kit/form-actions
11,SEO,Use page metadata and semantic output,SvelteKit pages often serve both humans and crawlers,Render meaningful head content,Ship generic metadata across routes,<svelte:head><title>...</title></svelte:head>,One hardcoded title everywhere,Medium,https://svelte.dev/docs/svelte/svelte-head
12,Styling,Keep styling boundaries deliberate,Use component scope, tokens, and layout-level decisions,Scoped styles and shared tokens,Random globals from many route files,<style> scoped </style>,Global cascade accidents,Medium,https://svelte.dev/docs/svelte/scoped-styles
13,DX,Use aliases and generated types,Follow Kit conventions to keep imports and types clean,Use $lib and generated types,Relative path spaghetti,import { Button } from '$lib/ui',../../../components/Button,Low,https://svelte.dev/docs/kit/project-structure
14,Deployment,Match adapters to deployment target,SvelteKit expects an adapter-driven deploy path,Choose official adapter for the runtime,Hand-wire output blindly,adapter-node or adapter-vercel,Custom deploy scripts first,Medium,https://svelte.dev/docs/kit/adapters
15,UX,Use enhance when progressive forms need polish,Start with working forms then layer nicer behavior,Use enhance on existing forms,Replace form actions with complex client state too early,use:enhance on form,Client-only submit orchestration,Medium,https://svelte.dev/docs/kit/form-actions#progressive-enhancement-use-enhance
