No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Lean on nested routes,Remix routing works best when layout and data boundaries follow the route tree,Use nested route modules and Outlet,Build a custom router layer,app/routes/dashboard._index.tsx,Manual page registry,High,https://v2.remix.run/docs/file-conventions/routes/
2,Data,Load data in loaders,Keep initial data on the server and colocated with the route,Use loader for route data,useEffect fetch for first render,export async function loader(){...},useEffect(() => fetch(...)),High,https://v2.remix.run/docs/route/loader/
3,Mutations,Use actions for writes,Form submissions and mutations belong in actions,Use Form or fetcher with action,Client mutation boilerplate by default,<Form method="post">,<button onClick={save}>,High,https://v2.remix.run/docs/route/action/
4,UX,Prefer progressive enhancement,Remix forms should work before extra JS polish,Build around Form and native navigation,Depend on client-only handlers for core flows,<Form reloadDocument={false}>,Entire flow hidden behind JS only,High,https://v2.remix.run/docs/guides/progressive-enhancement/
5,PendingUI,Use useNavigation and useFetcher state,Surface loading and submitting states from Remix primitives,Read navigation and fetcher state,Invent global loading booleans,useNavigation().state,Manual isSaving flags everywhere,Medium,https://v2.remix.run/docs/hooks/use-navigation/
6,Errors,Use route error boundaries,Handle failures at route boundaries,Export ErrorBoundary per route,Wrap every component in ad-hoc try-catch,export function ErrorBoundary(){...},window.onerror hacks,High,https://v2.remix.run/docs/route/error-boundary/
7,Validation,Validate on the server first,Server actions define truth for form input,Parse and validate in action,Trust client checks alone,const data = schema.parse(formData),Only HTML required attributes,High,https://v2.remix.run/docs/guides/form-validation/
8,Caching,Return proper HTTP semantics,Use headers and response helpers intentionally,Set cache headers on loader responses,Ignore caching on expensive data,returnCachedJson,Plain object returns everywhere,Medium,https://v2.remix.run/docs/route/headers/
9,Revalidation,Control revalidation deliberately,Use shouldRevalidate only when the default is too noisy,Keep defaults unless a real problem exists,Disable revalidation blindly,export function shouldRevalidate(){...},Global skip without reason,Medium,https://v2.remix.run/docs/route/should-revalidate/
10,Files,Respect server and client boundaries,Remix separates code by execution environment,Centralize server-only modules and env access,Import server code into browser bundles,.server modules,Leaking secrets into components,High,https://v2.remix.run/docs/guides/constraints/
11,Styling,Use route-level styling intentionally,Colocate styles and links metadata,Use links export for route CSS,Stuff styles into unrelated globals,export const links = () => [...],Single monolithic stylesheet,Medium,https://v2.remix.run/docs/styling/css/
12,Performance,Stream or defer only where it helps,Use deferred data for truly slow branches,Defer non-critical data,Defer everything without a UX need,defer({ slowData }),One giant spinner for all data,Medium,https://v2.remix.run/docs/utils/defer/
13,Testing,Test routes with Remix helpers,Use createRemixStub and route-centric tests,Test loader/action/component behavior together,Only shallow test leaf components,createRemixStub([...]),Bare snapshot of markup,Medium,https://v2.remix.run/docs/utils/create-remix-stub/
14,Accessibility,Preserve native semantics,Remix is strongest when forms and links stay semantic,Use button link and form semantics,Replace everything with div handlers,<Form><button>Save</button></Form>,<div onClick={save}>,High,https://v2.remix.run/docs/guides/accessibility/
15,Architecture,Keep routes thin and domain code elsewhere,Route modules should orchestrate, not become giant service layers,Extract domain logic to shared modules,Pack business rules into route files,loader delegates to service,600-line route file,Medium,https://v2.remix.run/docs/discussion/routes/
