No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Routing,Use file-based routing as the navigation source of truth,Expo Router works best when the app directory defines the route map,Create screens by adding files under app,Mirror routes in custom config,app/(tabs)/home.tsx,Manual navigator map first,High,https://docs.expo.dev/router/introduction/
2,Layout,Use _layout files for navigator boundaries,Group screens under layout shells,Define stacks tabs or drawers in _layout.tsx,Repeat navigator setup in every screen,app/_layout.tsx,Navigation wrapper inside each screen,High,https://docs.expo.dev/router/basics/layout/
3,Links,Use Link and router APIs intentionally,Prefer Expo Router primitives for navigation,Use Link or router.push,Use ad-hoc navigation helpers everywhere,<Link href="/profile" />,navigation.navigate('Profile'),Medium,https://docs.expo.dev/router/basics/navigation/
4,Segments,Use groups to organize without changing URLs,Parentheses folders help route structure,Group tabs auth or settings screens,Encode organization in user-facing path,app/(auth)/login.tsx,app/auth/login.tsx without reason,Medium,https://docs.expo.dev/router/basics/notation/
5,Params,Use typed route params carefully,Keep route params explicit and predictable,Read params through local/global hooks,Pass opaque navigation payloads,useLocalSearchParams(),Any bag passed around,Medium,https://docs.expo.dev/router/reference/url-parameters/
6,DeepLinks,Lean on deep links and shareable routes,Expo Router gives route-based linking out of the box,Design screen structure with shareable URLs,Hide app state behind non-addressable navigation,/products/[id],Nested anonymous state only,High,https://docs.expo.dev/router/introduction/
7,Performance,Keep screens light and split naturally,File-based routes help lazy evaluation and bundling,Keep heavy logic away from navigator shells,Huge root layout files,Thin _layout with providers,All app logic in root layout,Medium,https://docs.expo.dev/router/web/async-routes/
8,UX,Respect native navigation patterns,Use native stacks tabs and gestures where appropriate,Choose stacks/tabs that fit mobile tasks,Force web-like nav patterns on every flow,<Stack screenOptions={...} />,Custom back button maze,Medium,https://docs.expo.dev/router/advanced/stack/
9,Data,Load data per screen boundary,Screen data should match route responsibility,Fetch or derive data per screen,Global mega-store for every view,Screen-focused query hook,Root app store blob,Medium,https://docs.expo.dev/router/reference/url-parameters/
10,Auth,Gate access with groups and layout logic,Centralize auth redirects near route boundaries,Protect private groups in layout,Scatter redirect checks in leaf screens,if(!session) return <Redirect ... />,Auth if blocks everywhere,High,https://docs.expo.dev/router/advanced/authentication-rewrites/
11,Web,Remember Expo Router spans web too,Keep route naming links and layouts friendly for universal apps,Test both native and web navigation,Assume mobile-only semantics,Universal route structure,Deeply native-only assumptions,Medium,https://docs.expo.dev/router/introduction/
12,TypedRoutes,Use typed routes when available,Safer href construction reduces broken links,Enable typed routes and lean on autocomplete,Hardcode many string paths,<Link href="/settings/profile" />,router.push('/setings/profiel'),Medium,https://docs.expo.dev/router/reference/typed-routes/
13,Forms,Keep mutations screen-local and recoverable,Form submission UX should reflect mobile realities,Show pending state and error recovery,Fire-and-forget submissions,Disable button and show retry,Silent tap with no feedback,Medium,https://docs.expo.dev/router/introduction/
14,Structure,Prefer clear route names over clever nesting,Developers should understand the app map from the tree,Readable segment names and groups,Deep cryptic folder hierarchies,app/(app)/settings/account.tsx,app/(a)/(b)/(c)/index.tsx,Low,https://docs.expo.dev/router/basics/notation/
15,Rendering,Use platform-specific files only when needed,Stay universal until native differences are real,Share route components where possible,Split iOS/Android/web for no reason,profile.tsx with small platform branches,profile.ios.tsx and profile.android.tsx immediately,Low,https://docs.expo.dev/router/introduction/
